hiring_manager: namelezz; similarity_score: 0.97368
hiring_manager: deepsearch; similarity_score: 0.97367
hiring_manager: papaonlegs; similarity_score: 0.94871
hiring_manager: bohnej; similarity_score: 0.94871
hiring_manager: zacharycohn; similarity_score: 0.92499
hiring_manager: xasos; similarity_score: 0.90243
hiring_manager: siddarthd2919; similarity_score: 0.88095
hiring_manager: bostonpete; similarity_score: 0.88094
hiring_manager: neftaly; similarity_score: 0.86046
hiring_manager: BillFranklin; similarity_score: 0.86046
hiring_manager: ogennadi; similarity_score: 0.86045
hiring_manager: metaobject; similarity_score: 0.84090
hiring_manager: fourier; similarity_score: 0.84090
hiring_manager: OpenDrapery; similarity_score: 0.84090
hiring_manager: joshcanhelp; similarity_score: 0.84090
hiring_manager: iandanforth; similarity_score: 0.84090
hiring_manager: ljlolel; similarity_score: 0.82222
hiring_manager: nathanwdavis; similarity_score: 0.82222
hiring_manager: zerr; similarity_score: 0.82221
hiring_manager: plaban123; similarity_score: 0.82221
hiring_manager: JusticeEX_; similarity_score: 0.80434
hiring_manager: grinich; similarity_score: 0.80434
hiring_manager: Caleb_Smith; similarity_score: 0.80434
hiring_manager: fractalsea; similarity_score: 0.80433
hiring_manager: curiousDog; similarity_score: 0.78722
hiring_manager: sid6376; similarity_score: 0.77083
hiring_manager: smikhanov; similarity_score: 0.77083
hiring_manager: quinthar; similarity_score: 0.77083
hiring_manager: fuckthepoor; similarity_score: 0.77083
hiring_manager: fapjacks; similarity_score: 0.77082
hiring_manager: siscia; similarity_score: 0.75509
hiring_manager: khwang; similarity_score: 0.75509
hiring_manager: hrehhf; similarity_score: 0.75509
hiring_manager: unclesaamm; similarity_score: 0.75509
hiring_manager: HeyLaughingBoy; similarity_score: 0.73999
hiring_manager: _gordee; similarity_score: 0.73999
hiring_manager: bkovacev; similarity_score: 0.71153
hiring_manager: rrpadhy; similarity_score: 0.71153
hiring_manager: tobinharris; similarity_score: 0.71153
hiring_manager: vaughnd; similarity_score: 0.71153
hiring_manager: st8machine; similarity_score: 0.71153
hiring_manager: maxlawrie; similarity_score: 0.71153
hiring_manager: Cyranix; similarity_score: 0.71152
hiring_manager: emcienjobs; similarity_score: 0.71152
hiring_manager: jerematasno; similarity_score: 0.69810
hiring_manager: kbar13; similarity_score: 0.69810
hiring_manager: Blackthorn; similarity_score: 0.68518
hiring_manager: petrosagg; similarity_score: 0.68518
hiring_manager: chrisbennet; similarity_score: 0.68517
hiring_manager: rememberlenny; similarity_score: 0.67272
hiring_manager: frabcus; similarity_score: 0.66071
hiring_manager: geverett; similarity_score: 0.66071
hiring_manager: Hario; similarity_score: 0.66070
hiring_manager: timanglade; similarity_score: 0.66070
hiring_manager: miles932; similarity_score: 0.66070
hiring_manager: manpageman; similarity_score: 0.64912
hiring_manager: g06; similarity_score: 0.64911
hiring_manager: fnaticshank; similarity_score: 0.64911
hiring_manager: untilHellbanned; similarity_score: 0.62711
hiring_manager: toreriklinnerud; similarity_score: 0.62711
hiring_manager: lesleyann25; similarity_score: 0.61666
hiring_manager: milewska; similarity_score: 0.61665
